CCOD_PAIS;CDESCRI;CCOD_ASOC
295;Mar Territorial Argentino y/o Zona Economica Exclusiva;
398;Indeterminado ( Asia );
452;Federacion Serbia Y Montenegro;
157;Santo Tome y Principe;
206;Costa Rica;
101;Burkina Faso;
224;Trinidad Y Tobago;
235;San Vicente Y Las Granadinas;
315;India;
312;Filipinas;
238;Saint Kitts y Nevis - (San Cristobal Y Nevis);
256;Cordoba (Argentina);200
321;Jordania;
508;Teritorios vinculados al Reino Unido;
250;Tierra Del Fuego (Argentina);200
257;Mendoza (Argentina);200
262;Salta (Argentina);200
280;Colonia (Uruguay);225
145;Territorios Vinculados al Reino Unido de Gran Breta?a e Irlanda del No;
263;Paso de los Libres (Corrientes - Argentina);200
397;Resto ( Asia );
412;Francia;
428;San Marino;
433;Territorios vinculados al Reino Unido de Gran Breta?a e Irlanda del No;
513;Papua  Nueva Guinea;
521;Islas Marianas Septentrionales;
996;Exportaciones e Importaciones Simplificadas;
107;Republica Centroafricana;
121;Lesotho;
258;General Pico (La Pampa - Argentina);200
272;Zona Franca del Pacifico (Colombia);205
451;Republica Checa;
162;Sudan;
289;Punta Pereira (Uruguay);225
163;SUDAN DEL SUR;
314;Gaza;
244;Curazao;
245;San Martin (Parte holandesa);
268;ZF Villa Constitucion;200
209;Republica Dominicana;
222;Peru;
319;Israel;
AME;Demas Paises De America;
OCE;Demas Paises de Oceania;
139;Tanzania, Republica Unida de;
210;Ecuador;
227;Territorios vinculados al Reino Unido de Gran Breta?a e Irlanda del No;
266;Coronel Rosales (Buenos Aires - Argentina);200
265;Sector Antartico Argentino;200
450;Macedonia (ex Republica Yugoslava de);
150;Cabo Verde;
232;Suriname;
211;El Salvador;
504;Nueva Zelandia;
119;Guinea Ecuatorial;
345;Bangladesh;
414;Hungria;
439;Belarus;
317;Iraq;
123;Libia Jamahiriya Arabe;
230;Territorios Holandeses;
212;Estados Unidos;
217;Jamaica;
438;Republica Federal de Alemania;
341;Hong Kong Region Administrativa Especial de (China);310
997;Productos Argentinos a Embajadas Extranjeras;
406;Belgica;
430;Suiza;
518;Islas Salomon;
120;Kenya;
291;Manaos (Brasil);203
355;Turkmenistan;
431;Santa Sede (Vaticano);
102;Argelia;
133;Rwanda;
147;Territorios Vinculados a Francia;
220;Panama;
234;Santa Lucia;
306;Camboya (ex Kampuchea);
159;Sudafrica;
252;Justo Daract (San Luis - Argentina);200
331;Emiratos Arabes Unidos;
501;Australia;
511;Teritorios vinculados a Estados Unidos;212
255;Tucuman (Argentina);200
228;Territorios vinculados a Dinamarca;
267;ZF Concepcion del Uruguay (Entre Rios);200
269;ZF Puerto Galban;200
346;Brunei Darussalam;
348;Republica de Yemen;
349;Armenia;
351;Georgia;
353;Kirguistan;
354;Tayikistan;
356;Uzbekistan;
401;Albania;
404;Andorra;
405;Austria;
409;Dinamarca;
411;Finlandia;
413;Grecia;
415;Irlanda;
416;Islandia;
417;Italia;
418;Liechtenstein;
420;Malta;
422;Noruega;
423;Paises Bajos;
425;Portugal;
426;Reino Unido;
427;Rumania;
429;Suecia;
435;Chipre;
436;Turquia;
440;Estonia;
441;Letonia;
444;Rusia Federacion de;
445;Ucrania;
446;Bosnia y Herzegovina;
447;Croacia;
448;Eslovaquia;
449;Eslovenia;
514;Kiribati;
515;Micronesia Estados Federados;
516;Palau;
517;Tuvalu;
597;Resto  (Oceania);
598;Indeterminado (Oceania);
599;Sin Declarar (Oceania);
994;Calamares;
998;Indeterminado (Continente);
146;Territorios Vinculados a Espa?a;410
XXX;Desconocido;
103;Botswana;
104;Burundi;
105;Camerun;
108;Congo;
109;Rep. Democratica del Congo (ex Zaire);
110;Cote d' Ivoire (Costa de Marfil);
111;Chad;
115;Gabon;
117;Ghana;
122;Liberia;
124;Madagascar;
125;Malawi;
127;Marruecos;
129;Mauritania;
130;Niger;
132;Zimbabwe;
199;Sin Declarar  - Desconocido - Ignorado (Africa);
286;ZF UPM FRAY BENTOS (EX RIO NEGRO) (URUGUAY);225
203;Brasil;
410;Espa?a;
419;Luxemburgo;
135;Sierra Leona;
136;Somalia;
137;Swazilandia;
138;Sudan (hasta a?o 2011);
140;Togo;
142;Uganda;
144;Zambia;
149;Angola;
151;Mozambique;
152;Seychelles;
158;Namibia;
160;Eritrea;
197;Resto  (Africa);
198;Indeterminado (Africa);
200;Argentina;
201;Barbados;
202;Bolivia;
204;Canada;
207;Cuba;
213;Guatemala;
215;Haiti;
216;Honduras;
221;Paraguay;
223;Puerto Rico (Estado Asociado);212
226;Venezuela;
233;Dominica;
301;Afganistan;
302;Arabia Saudita;
303;Bahrein;
305;Butan;
307;Sri Lanka;
309;Corea, Republica de;
310;China;
313;Taiwan;
153;Djibouti;
156;Guinea Bissau;
161;Etiopia;
205;Colombia;
208;Chile;
214;Guyana;
219;Nicaragua;
225;Uruguay;
236;Belice;
242;Aruba;
281;Florida (Uruguay);225
284;Nueva Helvecia (Colonia Suiza - Uruguay);225
288;San Jose (Uruguay);225
299;Sin Declarar - Desconocido - Ignorado (America);
304;Myanmar;
316;Indonesia;
AFR;Demas Paises De Africa;
RES;Indeterminado;
399;Sin Declarar - Desconocido - Ignorado (Asia);
519;Tonga;
126;Mali;
155;Comoras;
229;Territorios vinculados a Francia;
296;Rios nacionales argentinos de navegacion internacional;
320;Japon;
322;Qatar;
323;Kuwait;
324;Laos;
325;Libano;
326;Malasia;
327;Maldivas;
328;Oman;
329;Mongolia;
330;Nepal;
332;Paquistan;
333;Singapur;
334;Siria;
335;Tailandia;
337;Viet Nam;
497;Resto (Europa);
498;Indeterminado (Europa);
499;Sin Declarar - Desconocido - Ignorado  (Europa);
505;Vanuatu;
506;Samoa  Occidental;
507;Teritorios vinculados a Australia;
509;Teritorios vinculados a Francia;
510;Teritorios vinculados a  Nueva Zelanda;
237;Antigua Y Barbuda;
239;Bahamas;
240;Granada;
241;Antillas Holandesas (territorio vinculado a Paises Bajos);
251;La Plata (Bs.As. - Argentina);200
253;Rio Gallegos (Santa Cruz - Argentina);200
254;Islas Malvinas;200
259;Comodoro Rivadavia (Chubut - Argentina);200
261;Punta Arenas (Chile);208
270;Colon (Panama);220
271;Winner - Zona Franca de Santa Cruz de la Sierra (Bolivia);202
282;ZF LIBERTAD (URUGUAY);225
283;Zonamerica (ex Montevideo) (Uruguay);225
285;Nueva Palmira (Uruguay);225
287;Rivera (Uruguay);225
453;Montenegro;
454;Serbia;
318;Iran;
112;Benin;
128;Mauricio;
134;Senegal;
231;Territorios vinculados a Estados Unidos;212
260;Iquique (Chile);208
273;Zona Franca COYOL ALAJUELA (Costa Rica);206
218;Mexico;
264;Puerto Iguazu (Misiones - Argentina);200
357;Palestina;
358;Timor Oriental;
352;Kazajstan;
407;Bulgaria;
421;Monaco;
442;Lituania;
512;Fiji;
520;Islas Marshall;
999;Sin Declarar  Continente;
116;Gambia;
XXA;POR CUADRO FMI;
XXB;POR CUADRO FMI;
XXC;POR CUADRO FMI;
XXD;POR CUADRO FMI;
XXE;POR CUADRO FMI;
XXF;POR CUADRO FMI;
XXG;POR CUADRO FMI;
XXH;POR CUADRO FMI;
243;Bonaire, San Eustatius y Saba;
297;Resto (America);
ASI;Demas Paises De Asia;
EUR;Demas Paises De Europa;
141;Tunez;
298;Indeterminado (America);
344;Macao Region Administrativa Especial de (China);310
308;Corea, Republica Popular Democratica de;
350;Azerbaiyan;
443;Moldavia, Republica de;
118;Guinea;
XXI;POR CUADRO FMI;
290;ZF PARQUE DE LAS CIENCIAS S.A. (URUGUAY);225
424;Polonia;
113;Egipto;
503;Nauru;
131;Nigeria;
